"COD_VAR";"LIB_VAR";"COD_MOD";"LIB_MOD"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"231A";"Chefs de grande entreprise de 500 salariés et plus"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"232A";"Chefs de moyenne entreprise, de 50 à 499 salariés"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"233A";"Chefs d'entreprise du bâtiment et des travaux publics, de 10 à 49 salariés"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"233B";"Chefs d'entreprise de l'industrie ou des transports, de 10 à 49 salariés"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"233C";"Chefs d'entreprise commerciale, de 10 à 49 salariés"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"233D";"Chefs d'entreprise de services, de 10 à 49 salariés"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"3";"Cadres et professions intellectuelles supérieures"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"4";"Professions intermédiaires"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"311C";"Chirurgiens dentistes"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"311E";"Vétérinaires"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"312A";"Avocats"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"342C";"Professeurs agrégés et certifiés en fonction dans l'enseignement supérieur"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"344B";"Médecins salariés non hospitaliers"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"344D";"Pharmaciens salariés"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"352A";"Journalistes (y c. rédacteurs en chef)"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"353A";"Directeurs de journaux, administrateurs de presse, directeurs d'éditions (littéraire, musicale, audiovisuelle et multimédia)"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"353B";"Directeurs, responsables de programmation et de production de l'audiovisuel et des spectacles"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"353C";"Cadres artistiques et technico-artistiques de la réalisation de l'audiovisuel et des spectacles"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"354A";"Artistes plasticiens"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"354B";"Artistes de la musique et du chant"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"354C";"Artistes dramatiques"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"354E";"Artistes de la danse"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"354F";"Artistes du cirque et des spectacles divers"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"354G";"Professeurs d'art (hors établissements scolaires)"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"371A";"Cadres d'état-major administratifs, financiers, commerciaux des grandes entreprises"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"372A";"Cadres chargés d'études économiques, financières, commerciales"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"372B";"Cadres de l'organisation ou du contrôle des services administratifs et financiers"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"372C";"Cadres spécialistes des ressources humaines et du recrutement"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"372D";"Cadres spécialistes de la formation"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"372E";"Juristes"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"372F";"Cadres de la documentation, de l'archivage (hors fonction publique)"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"373A";"Cadres des services financiers ou comptables des grandes entreprises"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"373B";"Cadres des autres services administratifs des grandes entreprises"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"373C";"Cadres des services financiers ou comptables des petites et moyennes entreprises"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"373D";"Cadres des autres services administratifs des petites et moyennes entreprises"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"374A";"Cadres de l'exploitation des magasins de vente du commerce de détail"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"374B";"Chefs de produits, acheteurs du commerce et autres cadres de la mercatique"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"374C";"Cadres commerciaux des grandes entreprises (hors commerce de détail)"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"374D";"Cadres commerciaux des petites et moyennes entreprises (hors commerce de détail)"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"375A";"Cadres de la publicité"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"375B";"Cadres des relations publiques et de la communication"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"376A";"Cadres des marchés financiers"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"376B";"Cadres des opérations bancaires"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"376C";"Cadres commerciaux de la banque"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"376D";"Chefs d'établissements et responsables de l'exploitation bancaire"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"376E";"Cadres des services techniques des assurances"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"376F";"Cadres des services techniques des organismes de sécurité sociale et assimilés"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"376G";"Cadres de l'immobilier"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"377A";"Cadres de l'hôtellerie et de la restauration"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"380A";"Directeurs techniques des grandes entreprises"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"381B";"Ingénieurs et cadres d'étude et développement de l'agriculture, la pêche, les eaux et forêts"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"381C";"Ingénieurs et cadres de production et d'exploitation de l'agriculture, la pêche, les eaux et forêts"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"382A";"Ingénieurs et cadres d'étude du bâtiment et des travaux publics"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"382B";"Architectes salariés"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"382C";"Ingénieurs, cadres de chantier et conducteurs de travaux (cadres) du bâtiment et des travaux publics"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"382D";"Ingénieurs et cadres technico-commerciaux en bâtiment, travaux publics"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"383A";"Ingénieurs et cadres d'étude, recherche et développement en électricité, électronique"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"383B";"Ingénieurs et cadres de fabrication en matériel électrique, électronique"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"383C";"Ingénieurs et cadres technico-commerciaux en matériel électrique ou électronique professionnel"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"384A";"Ingénieurs et cadres d'étude, recherche et développement en mécanique et travail des métaux"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"384B";"Ingénieurs et cadres de fabrication en mécanique et travail des métaux"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"384C";"Ingénieurs et cadres technico-commerciaux en matériel mécanique professionnel"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"385A";"Ingénieurs et cadres d'étude, recherche et développement des industries de transformation (agroalimentaire, chimie, métallurgie, matériaux lourds)"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"385B";"Ingénieurs et cadres de fabrication des industries de transformation (agroalimentaire, chimie, métallurgie, matériaux lourds)"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"385C";"Ingénieurs et cadres technico-commerciaux des industries de transformations (biens intermédiaires)"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"386B";"Ingénieurs et cadres d'étude, recherche et développement de la distribution d'énergie, eau"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"386C";"Ingénieurs et cadres d'étude, recherche et développement des autres industries (imprimerie, matériaux souples, ameublement et bois)"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"386D";"Ingénieurs et cadres de la production et de la distribution d'énergie, eau"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"386E";"Ingénieurs et cadres de fabrication des autres industries (imprimerie, matériaux souples, ameublement et bois)"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"387A";"Ingénieurs et cadres des achats et approvisionnements industriels"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"387B";"Ingénieurs et cadres de la logistique, du planning et de l'ordonnancement"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"387C";"Ingénieurs et cadres des méthodes de production"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"387D";"Ingénieurs et cadres du contrôle-qualité"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"387E";"Ingénieurs et cadres de la maintenance, de l'entretien et des travaux neufs"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"387F";"Ingénieurs et cadres techniques de l'environnement"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"388A";"Ingénieurs et cadres d'étude, recherche et développement en informatique"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"388B";"Ingénieurs et cadres d'administration, maintenance, support et services aux utilisateurs en informatique"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"388C";"Chefs de projets informatiques, responsables informatiques"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"388D";"Ingénieurs et cadres technico-commerciaux en informatique et télécommunications"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"388E";"Ingénieurs et cadres spécialistes des télécommunications"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"389A";"Ingénieurs et cadres techniques de l'exploitation des transports"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"389B";"Officiers et cadres navigants techniques et commerciaux de l'aviation civile"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"389C";"Officiers et cadres navigants techniques de la marine marchande"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"423A";"Moniteurs d'école de conduite"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"423B";"Formateurs et animateurs de formation continue"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"424A";"Sportifs professionnels"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"433B";"Opticiens lunetiers et audioprothésistes salariés"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"433C";"Autres spécialistes de l'appareillage médical salariés"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"433D";"Préparateurs en pharmacie"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"434A";"Cadres de l'intervention socio-éducative"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"434B";"Assistants de service social"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"434C";"Conseillers en économie sociale familiale"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"434E";"Moniteurs éducateurs"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"434F";"Éducateurs techniques spécialisés, moniteurs d'atelier"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"435A";"Directeurs de centres socioculturels et de loisirs"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"435B";"Animateurs socioculturels et de loisirs"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"441A";"Clergé séculier"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"441B";"Clergé régulier"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"461B";"Secrétaires de direction, assistants de direction (non cadres)"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"461C";"Secrétaires de niveau supérieur (non cadres, hors secrétaires de direction)"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"461D";"Maîtrise et techniciens des services financiers ou comptables"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"461E";"Maîtrise et techniciens administratifs des services juridiques ou du personnel"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"461F";"Maîtrise et techniciens administratifs des autres services administratifs"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"462A";"Chefs de petites surfaces de vente"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"462B";"Maîtrise de l'exploitation des magasins de vente"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"462C";"Acheteurs non classés cadres, aides-acheteurs"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"5";"Employés"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"462D";"Animateurs commerciaux des magasins de vente, marchandiseurs (non cadres)"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"462E";"Autres professions intermédiaires commerciales (sauf techniciens des forces de vente)"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"463A";"Techniciens commerciaux et technico-commerciaux, représentants en informatique"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"463B";"Techniciens commerciaux et technico-commerciaux, représentants en biens d'équipement, en biens intermédiaires, commerce interindustriel (hors informatique)"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"463C";"Techniciens commerciaux et technico-commerciaux, représentants en biens de consommation auprès d'entreprises"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"463D";"Techniciens commerciaux et technico-commerciaux, représentants en services auprès d'entreprises ou de professionnels (hors banque, assurance, informatique)"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"463E";"Techniciens commerciaux et technico-commerciaux, représentants auprès de particuliers (hors banque, assurance, informatique)"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"464A";"Assistants de la publicité, des relations publiques"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"464B";"Interprètes, traducteurs"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"465A";"Concepteurs et assistants techniques des arts graphiques, de la mode et de la décoration salariés"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"465B";"Assistants techniques de la réalisation des spectacles vivants et audiovisuels salariés"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"465C";"Photographes"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"466A";"Responsables commerciaux et administratifs des transports de voyageurs et du tourisme (non cadres)"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"466B";"Responsables commerciaux et administratifs des transports de marchandises (non cadres)"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"466C";"Responsables d'exploitation des transports de voyageurs et de marchandises (non cadres)"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"467A";"Chargés de clientèle bancaire"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"467B";"Techniciens des opérations bancaires"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"467C";"Professions intermédiaires techniques et commerciales des assurances"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"467D";"Professions intermédiaires techniques des organismes de sécurité sociale"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"468A";"Maîtrise de restauration : salle et service"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"468B";"Maîtrise de l'hébergement : hall et étages"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"471A";"Techniciens d'étude et de conseil en agriculture, eaux et forêt"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"471B";"Techniciens d'exploitation et de contrôle de la production en agriculture, eaux et forêt"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"472A";"Dessinateurs en bâtiment, travaux publics"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"472B";"Géomètres, topographes"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"472C";"Métreurs et techniciens divers du bâtiment et des travaux publics"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"473A";"Dessinateurs en électricité, électromécanique et électronique"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"473B";"Techniciens de recherche-développement et des méthodes de fabrication en électricité, électromécanique et électronique"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"473C";"Techniciens de fabrication et de contrôle-qualité en électricité, électromécanique et électronique"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"474A";"Dessinateurs en construction mécanique et travail des métaux"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"474B";"Techniciens de recherche-développement et des méthodes de fabrication en construction mécanique et travail des métaux"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"474C";"Techniciens de fabrication et de contrôle-qualité en construction mécanique et travail des métaux"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"475A";"Techniciens de recherche-développement et des méthodes de production des industries de transformation"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"475B";"Techniciens de production et de contrôle-qualité des industries de transformation"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"476A";"Assistants techniques, techniciens de l'imprimerie et de l'édition"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"476B";"Techniciens de l'industrie des matériaux souples, de l'ameublement et du bois"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"477A";"Techniciens de la logistique, du planning et de l'ordonnancement"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"477B";"Techniciens d'installation et de maintenance des équipements industriels (électriques, électromécaniques, mécaniques, hors informatique)"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"477C";"Techniciens d'installation et de maintenance des équipements non industriels (hors informatique et télécommunications)"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"477D";"Techniciens de l'environnement et du traitement des pollutions"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"478A";"Techniciens d'étude et de développement en informatique"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"478B";"Techniciens de production, d'exploitation en informatique"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"478C";"Techniciens d'installation, de maintenance, support et services aux utilisateurs en informatique"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"478D";"Techniciens des télécommunications et de l'informatique des réseaux"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"479B";"Experts salariés de niveau technicien, techniciens divers"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"480A";"Contremaîtres et agents d'encadrement (non cadres) en agriculture, sylviculture"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"481A";"Conducteurs de travaux (non cadres)"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"481B";"Chefs de chantier (non cadres)"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"482A";"Agents de maîtrise en fabrication de matériel électrique, électronique"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"483A";"Agents de maîtrise en construction mécanique, travail des métaux"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"484A";"Agents de maîtrise en fabrication : agroalimentaire, chimie, plasturgie, pharmacie."
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"484B";"Agents de maîtrise en fabrication : métallurgie, matériaux lourds et autres industries de transformation"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"485A";"Agents de maîtrise et techniciens en production et distribution d'énergie, eau, chauffage"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"485B";"Agents de maîtrise en fabrication des autres industries (imprimerie, matériaux souples, ameublement et bois)"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"486B";"Agents de maîtrise en maintenance, installation en électricité et électronique"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"486C";"Agents de maîtrise en maintenance, installation en électromécanique"
